astar,bodytrack_1m,bzip2,canneal.uniq,gcc,mcf,perlbench,streamcluster,swim,twolf, ,块大小,映射方式,写策略,替换策略
0.521573,0.002482,0.055304,0.007644,0.068232,0.050010,0.027611,0.023820,0.074566,0.015231, ,1,8-way组相联,写分配+写回,LRU
0.420390,0.002482,0.030793,0.007644,0.063973,0.049992,0.023867,0.023820,0.074075,0.013392, ,2,8-way组相联,写分配+写回,LRU
0.299116,0.002482,0.018538,0.007644,0.061867,0.049139,0.021200,0.023820,0.073785,0.012385, ,4,8-way组相联,写分配+写回,LRU
0.232848,0.002482,0.012170,0.007644,0.040979,0.045759,0.017902,0.023820,0.065368,0.011402, ,8,8-way组相联,写分配+写回,LRU
0.187990,0.002482,0.006099,0.007644,0.021961,0.033031,0.012317,0.023820,0.037709,0.006120, ,16,8-way组相联,写分配+写回,LRU
0.096275,0.002482,0.003063,0.007644,0.011924,0.018245,0.008222,0.023820,0.021165,0.003401, ,32,8-way组相联,写分配+写回,LRU
0.050001,0.002482,0.001544,0.007644,0.006754,0.010837,0.006245,0.023820,0.011465,0.001976, ,64,8-way组相联,写分配+写回,LRU
0.026420,0.001611,0.000781,0.004001,0.003999,0.005442,0.005394,0.019712,0.006082,0.001191, ,128,8-way组相联,写分配+写回,LRU
0.014358,0.001064,0.000397,0.002150,0.002519,0.002748,0.005406,0.019755,0.003321,0.000768, ,256,8-way组相联,写分配+写回,LRU
0.008180,0.000771,0.000206,0.001326,0.001708,0.001395,0.005975,0.021747,0.001896,0.000514, ,512,8-way组相联,写分配+写回,LRU
0.004920,0.000613,0.000110,0.000909,0.001280,0.000713,0.005350,0.024913,0.001174,0.000377, ,1024,8-way组相联,写分配+写回,LRU
0.003635,0.000575,0.000062,0.002011,0.001171,0.000441,0.005973,0.031057,0.000788,0.000278, ,2048,8-way组相联,写分配+写回,LRU
0.005835,0.000558,0.000035,0.004961,0.002156,0.001235,0.009130,0.041112,0.000716,0.000466, ,4096,8-way组相联,写分配+写回,LRU
0.013074,0.000740,0.000026,0.007455,0.007720,0.016059,0.020572,0.055602,0.001168,0.001158, ,8192,8-way组相联,写分配+写回,LRU
0.030050,0.000984,0.000017,0.010801,0.028729,0.026986,0.035427,0.079134,0.002500,0.005348, ,16384,全相联,写分配+写回,LRU
