astar,bodytrack_1m,bzip2,canneal.uniq,gcc,mcf,perlbench,streamcluster,swim,twolf, ,块大小,映射方式,写策略,替换策略
0.233961,0.002547,0.020615,0.010728,0.042367,0.049447,0.036668,0.043420,0.065750,0.011847, ,8,直接映射,写分配+写回,LRU
0.232703,0.002499,0.012220,0.007908,0.041442,0.045771,0.030821,0.032696,0.065483,0.011422, ,8,2-way组相联,写分配+写回,LRU
0.232791,0.002482,0.012170,0.007631,0.041095,0.045759,0.020712,0.026471,0.065384,0.011404, ,8,4-way组相联,写分配+写回,LRU
0.232848,0.002482,0.012170,0.007644,0.040979,0.045759,0.017902,0.023820,0.065368,0.011402, ,8,8-way组相联,写分配+写回,LRU
0.232904,0.002482,0.012170,0.007644,0.040979,0.045759,0.017545,0.022040,0.065358,0.011402, ,8,16-way组相联,写分配+写回,LRU
0.232930,0.002482,0.012170,0.007644,0.040924,0.045759,0.017541,0.020757,0.065358,0.011402, ,8,32-way组相联,写分配+写回,LRU
0.232948,0.002482,0.012170,0.007646,0.040903,0.045759,0.017541,0.020860,0.065358,0.011402, ,8,64-way组相联,写分配+写回,LRU
0.232954,0.002482,0.012170,0.007646,0.040893,0.045759,0.017541,0.020777,0.065358,0.011402, ,8,128-way组相联,写分配+写回,LRU
0.232958,0.002482,0.012170,0.007648,0.040893,0.045759,0.017787,0.020720,0.065358,0.011402, ,8,256-way组相联,写分配+写回,LRU
0.232452,0.002482,0.012170,0.007648,0.040897,0.045759,0.017787,0.020630,0.065358,0.011402, ,8,512-way组相联,写分配+写回,LRU
0.232352,0.002482,0.012170,0.007650,0.040897,0.045759,0.017541,0.020527,0.065358,0.011402, ,8,1024-way组相联,写分配+写回,LRU
0.232314,0.002482,0.012170,0.007650,0.040897,0.045759,0.017541,0.020532,0.065358,0.011402, ,8,2048-way组相联,写分配+写回,LRU
0.232300,0.002482,0.012170,0.007497,0.040893,0.045759,0.017541,0.012833,0.065358,0.011402, ,8,4096-way组相联,写分配+写回,LRU
0.232292,0.002482,0.012170,0.007497,0.040889,0.045759,0.017541,0.008516,0.065358,0.011402, ,8,8192-way组相联,写分配+写回,LRU
0.232597,0.002482,0.012170,0.007497,0.040889,0.045759,0.017541,0.008516,0.065358,0.011402, ,8,全相联,写分配+写回,LRU
